source_key,display_order,sentence,sentence_meaning
photo-001,1,The meeting has a limited number of seats.,회의 좌석 수는 제한되어 있다.
photo-002,1,Each team received a monthly sales quota.,각 팀은 월간 판매 할당량을 받았다.
photo-003,1,The company recalled the product after the safety test.,그 회사는 안전 검사 후 제품을 회수했다.
photo-004,1,Safety is our first priority.,안전이 우리의 최우선 사항이다.
photo-005,1,This neighborhood looks familiar to me.,이 동네는 내게 익숙해 보인다.
photo-006,1,Each individual has a different goal.,각 개인은 다른 목표를 가지고 있다.
photo-007,1,The theater changed its seating plan.,그 극장은 좌석 배치를 바꾸었다.
photo-008,1,Thank you for your support.,지원해 주셔서 감사합니다.
photo-009,1,The total cost was lower than expected.,총비용은 예상보다 낮았다.
photo-010,1,I am grateful for your help.,도와주셔서 감사하다.
photo-011,1,The response from customers was overwhelming.,고객들의 반응은 압도적이었다.
photo-012,1,Please contact the administrative office.,행정 사무실에 연락해 주세요.
photo-013,1,The class will continue after lunch.,수업은 점심 후에도 계속된다.
photo-014,1,The concert will take place on Friday.,콘서트는 금요일에 열린다.
photo-015,1,I will be ready in a moment.,곧 준비될 것이다.
photo-016,1,The figure in the report is incorrect.,보고서의 수치가 정확하지 않다.
photo-017,1,We spent the afternoon at the library.,우리는 오후를 도서관에서 보냈다.
photo-018,1,Please keep your belongings with you.,소지품을 지니고 있어 주세요.
photo-019,1,The team is conducting research on climate change.,그 팀은 기후 변화에 관한 연구를 하고 있다.
photo-020,1,We explored several options before deciding.,우리는 결정하기 전에 여러 선택지를 탐색했다.
photo-021,1,The app can track your daily steps.,그 앱은 하루 걸음 수를 추적할 수 있다.
photo-022,1,It was a pleasure to meet you.,만나서 반가웠습니다.
photo-023,1,Can you distinguish the two colors?,두 색을 구별할 수 있나요?
photo-024,1,The merger created a larger company.,그 합병은 더 큰 회사를 만들었다.
photo-025,1,Small businesses can flourish with local support.,소규모 사업은 지역의 지원으로 번창할 수 있다.
photo-026,1,The competition begins tomorrow.,대회는 내일 시작된다.
photo-027,1,The view from the mountain was incredible.,산에서 본 경치는 놀라웠다.
photo-028,1,This district is known for its museums.,이 지역은 박물관으로 유명하다.
photo-029,1,Try not to focus on negative comments.,부정적인 의견에만 집중하지 마세요.
photo-030,1,We need to upgrade the software.,우리는 소프트웨어를 업그레이드해야 한다.
photo-031,1,She works for a travel agency.,그녀는 여행사에서 일한다.
photo-032,1,The scientist examined a soil sample.,과학자는 토양 표본을 조사했다.
photo-033,1,The doctor treated the patient carefully.,의사는 환자를 신중하게 치료했다.
