source_key,word,accent,status
photo-001,limited,lˈɪmʌtʌd,ACTIVE
photo-002,quota,kwˈoʊtʌ,ACTIVE
photo-003,recall,rˈiːkˌɔl,ACTIVE
photo-004,priority,praɪˈɔrʌtiː,ACTIVE
photo-005,familiar,fʌmˈɪljɜ,ACTIVE
photo-006,individual,ˌɪndʌvˈɪdʒʌwʌl,ACTIVE
photo-007,seating,sˈiːtɪŋ,ACTIVE
photo-008,support,sʌpˈɔrt,ACTIVE
photo-009,total,tˈoʊtʌl,ACTIVE
photo-010,grateful,ɡrˈeɪtfʌl,ACTIVE
photo-011,overwhelming,ˌoʊvɜwˈɛlmɪŋ,ACTIVE
photo-012,administrative,ʌdmˈɪnʌstrˌeɪtɪv,ACTIVE
photo-013,continue,kʌntˈɪnjuː,ACTIVE
photo-014,take place,tˈeɪk,ACTIVE
photo-015,in a moment,ɪn,ACTIVE
photo-016,figure,fˈɪɡjɜ,ACTIVE
photo-017,spend,spˈɛnd,ACTIVE
photo-018,belongings,bɪlˈɔŋɪŋz,ACTIVE
photo-019,research,riːsˈɜtʃ,ACTIVE
photo-020,explore,ɪksplˈɔr,ACTIVE
photo-021,track,trˈæk,ACTIVE
photo-022,pleasure,plˈɛʒɜ,ACTIVE
photo-023,distinguish,dɪstˈɪŋɡwɪʃ,ACTIVE
photo-024,merger,mˈɜdʒɜ,ACTIVE
photo-025,flourish,flˈɜɪʃ,ACTIVE
photo-026,competition,kˌɑmpʌtˈɪʃʌn,ACTIVE
photo-027,incredible,ˌɪnkrˈɛdʌbʌl,ACTIVE
photo-028,district,dˈɪstrɪkt,ACTIVE
photo-029,negative,nˈɛɡʌtɪv,ACTIVE
photo-030,upgrade,ʌpɡrˈeɪd,ACTIVE
photo-031,agency,ˈeɪdʒʌnsiː,ACTIVE
photo-032,sample,sˈæmpʌl,ACTIVE
photo-033,treat,trˈiːt,ACTIVE
photo-034,renovation,rˌɛnʌvˈeɪʃʌn,ACTIVE
photo-035,historic,hɪstˈɔrɪk,ACTIVE
photo-036,warehouse,wˈɛrhˌaʊs,ACTIVE
photo-037,resident,rˈɛzɪdʌnt,ACTIVE
photo-038,successful,sʌksˈɛsfʌl,ACTIVE
photo-039,intact,ˌɪntˈækt,ACTIVE
photo-040,extraordinary,ˌɛkstrʌˈɔrdʌnˌɛriː,ACTIVE
photo-041,generous,dʒˈɛnɜʌs,ACTIVE
photo-042,audience,ˈɑdiːʌns,ACTIVE
photo-043,paperwork,pˈeɪpɜwˌɜk,ACTIVE
photo-044,that way,ðˈæt,ACTIVE
photo-045,proof,prˈuːf,ACTIVE
photo-046,various,vˈɛriːʌs,ACTIVE
photo-047,prompt,prˈɑmpt,ACTIVE
photo-048,keep in mind,kˈiːp,ACTIVE
photo-049,informative,ˌɪnfˈɔrmʌtɪv,ACTIVE
photo-050,existing,ɪɡzˈɪstɪŋ,ACTIVE
